,price,min_to_metro,total_area,living_area,floor,number_of_floors,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,living_area_ratio,average_room,highness,ВАО,ЗАО,САО,СВАО,СЗАО,ЦАО,ЮАО,ЮВАО,ЮЗАО
1415,13500000.0,2.772588722239781,3.8308129500026027,3.8310215329737995,2.6390573296152584,2.70805020110221,7.58629630715272,0.0,0.0,2.64,2.0,1.0002132301080915,22.554808338937463,0.8571428571428571,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1416,25500000.0,1.6094379124341003,4.231203744939298,3.8310215329737995,2.1972245773362196,3.912023005428146,7.603008336866771,0.0,0.0,3.035314937012598,2.0,0.6653335793196892,22.554808338937463,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1417,14500000.0,1.9459101490553132,3.8066624897703196,3.367295829986474,2.9444389791664403,2.8903717578961645,7.604396348796338,0.0,0.0,2.75,2.0,0.6363636363636364,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1418,35000000.0,2.772588722239781,3.828641396489095,3.8310215329737995,1.9459101490553132,2.70805020110221,7.603008336866771,0.0,0.0,3.6,2.0,1.0024359261749984,22.554808338937463,0.35714285714285715,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1419,60000000.0,1.791759469228055,4.110873864173311,3.8310215329737995,2.6390573296152584,2.6390573296152584,7.6093665379542115,0.0,1.0,3.0,2.0,0.7518269446312488,22.554808338937463,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1420,22100000.0,1.791759469228055,3.832979798087693,3.8310215329737995,2.302585092994046,3.2188758248682006,7.6128310304073565,0.0,0.0,3.035314937012598,2.0,0.9980003689795337,22.554808338937463,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1421,32900000.0,1.791759469228055,3.9160150266976834,3.8310215329737995,2.6390573296152584,2.70805020110221,7.603008336866771,0.0,0.0,3.035314937012598,2.0,0.9168621275990838,22.554808338937463,0.8571428571428571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1422,37500000.0,2.1972245773362196,4.394449154672439,3.520460802488973,2.5649493574615367,2.6390573296152584,7.609862200913554,0.0,0.0,3.0,2.0,0.41,16.4,0.8461538461538461,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1423,37500000.0,2.5649493574615367,4.547541073151455,3.9815490680767565,1.9459101490553132,3.1354942159291497,7.605392364814935,0.0,0.0,3.0,2.0,0.563169164882227,26.3,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1424,74900000.0,2.6390573296152584,4.110873864173311,3.8310215329737995,1.9459101490553132,2.1972245773362196,7.6128310304073565,0.0,0.0,3.035314937012598,2.0,0.7518269446312488,22.554808338937463,0.625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1425,18270000.0,2.6390573296152584,3.728100167267218,3.4111477125153233,2.4849066497880004,2.3978952727983707,7.609862200913554,0.0,1.0,3.2,2.0,0.7216748768472906,14.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1426,14700000.0,2.302585092994046,3.828641396489095,3.044522437723423,2.3978952727983707,2.302585092994046,7.585788821732034,0.0,0.0,2.6,2.0,0.4444444444444444,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1427,25000000.0,2.302585092994046,3.8649313978942956,3.8310215329737995,1.3862943611198906,3.4011973816621555,7.612336837167746,0.0,0.0,2.9,2.0,0.9659446826097414,22.554808338937463,0.06896551724137931,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1428,33000000.0,2.3978952727983707,4.338597076746545,3.8310215329737995,1.0986122886681098,1.6094379124341003,7.550135342488429,0.0,0.0,3.2,2.0,0.5966880512946419,22.554808338937463,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1429,14350000.0,2.302585092994046,3.58351893845611,3.8310215329737995,2.3978952727983707,2.302585092994046,7.587310506022615,0.0,0.0,2.64,2.0,1.2888461907964264,22.554808338937463,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
